c_no	c_name	t_no	c_tel	a_no	c_address	c_price
V-012	V방탈출 부평점	14,33,47,2,6	032-497-3216	4	부평구 신트리로22번길 6 1층 	25000
V-013	V방탈출 서면점	11,8,9,17,47	051-497-3214	13	부산진구 범천로12번길 8	25000
V-014	V방탈출 서울역점	44,17,20,19,6	02-497-3205	3	마포구 백범로 152 101동 1층	25000
V-015	V방탈출 세종점	23,40,42	044-497-3217	6	나성로 133-15 애플타워 1층	20000
V-016	V방탈출 수원	46,9,2,11,24	031-497-3210	2	수원시 영통구 광교호수공원로 320	20000
V-017	V방탈출 순천점	4,18,24	061-497-3221	15	순천시 황금2길 5	20000
V-018	V방탈출 여수점	29,7,14	061-497-3222	15	여수시 돌산읍 두문포길 126	21000
V-019	V방탈출 원주점	41,20,15	033-497-3211	1	원주시 혁신로 39-2 103호	20000
V-020	V방탈출 인천점	38,35,37,3,25	032-497-3215	4	연수구 청량로155번길 39-5	25000
V-021	V방탈출 제주1호점	22,24,31	064-497-3229	17	제주시 신성로12길 사과빌딩 9층	21000
V-022	V방탈출 제주2호점	23,13,17	064-497-3230	17	서귀포시 이중섭로 2 윤정빌딩 5층	22000
V-023	V방탈출 진주점	25,4,19	055-497-3224	11	진주시 진주대로 504	21000
V-024	V방탈출 청주점	27,40,47	043-497-3219	8	청주시 청원구 오창읍 2산단로 186 1층 102호	20000
V-025	V방탈출 포항점	36,11,13	055-497-3223	11	포항 남구 삼산로241번길 25	21000
V-026	V방탈출 해운대점	36,2,23,1,13	051-497-3213	13	해운대구 구남로 20	25000
V-027	V방탈출 홍대점	12,1,14,47	02-497-3208	3	마포구 월드컵북로4길 39	25000
Z-001	제로월드 강남점	35,27,37,1,44	02-497-3048	3	강남구 강남대로97길 18 자이언트빌딩 B1층	25000
Z-002	제로월드 강북점	41,26,40,12,13	02-497-3051	3	강북구 도봉로87길 11	25000
Z-003	제로월드 건대점	14,47,6,34,8	02-497-3049	3	광진구 아차산로 192	25000
Z-004	제로월드 광주1호점	24,13,29	062-497-3068	16	동구 충장로 93-6	21000
Z-005	제로월드 광주역점	46,7,40	062-497-3069	16	동구 서석로7번길 14	21000
Z-006	제로월드 군산점	37,38,41	063-984-1242	14	군산시 나운동 456	18000
Z-007	제로월드 대구1호점	13,34,47	053-497-3070	10	중구 동성로4길 94	21000
Z-008	제로월드 대구2호점	24,7,43	053-497-3071	10	달성군 가창면 가창로93길 523	21000
Z-009	제로월드 대전점	43,24,42	042-497-3061	7	중구 대종로480번길 15	25000
Z-010	제로월드 대학로점	12,19,38,30,28	02-497-3050	3	광진구 동일로24길 102 2층	25000
Z-011	제로월드 동탄점	4,25,8,10,48	031-497-3052	2	화성시 향남읍 행정서로3길 22-9	25000
Z-012	제로월드 부산점	31,13,27,19,41	051-497-3055	13	기장군 장안읍 해맞이로 286 	20000
Z-013	제로월드 부평점	13,36,45,22	032-497-3059	4	부평구 부평문화로 70-2	25000
Z-014	제로월드 서면점	32,13,42,39,28	051-497-3057	13	부산진구 중앙대로680번가길 12-14 1~3층	25000
Z-015	제로월드 세종점	22,15,9	044-497-3060	6	연서면 안산길 76	25000
Z-016	제로월드 수원점	44,19,6,47,21	031-497-3053	2	수원시 팔달구 창룡대로7번길 16	25000
Z-017	제로월드 순천점	20,19,39	061-497-3064	15	순천시 왕지4길 13-10	20000
Z-018	제로월드 여수점	5,32,19	061-497-3065	15	여수시 돌산읍 계동로 552	20000
Z-019	제로월드 원주점	14,40,45	033-497-3054	1	원주시 갈촌길 126	20000
Z-020	제로월드 인천점	2,29,1,17,48	032-497-3058	4	중구 용유서로 380	25000
Z-021	제로월드 제주시청점	31,27,9	064-497-3072	17	서귀포시 안덕면 산방로 141	21000
Z-022	제로월드 제주점	12,19	064-497-3073	17	제주시 애월읍 애월북서길 56-1	21000
Z-023	제로월드 진주점	25,44,21	055-497-3067	11	진주시 창렬로 12 살롱드인사	21000
Z-024	제로월드 청주점	41,33,11	043-497-3062	8	청주시 서원구 2순환로1432번길 30 	20000
Z-025	제로월드 태안점	25,32,43	041-497-3063	5	태안군 원북면 신두해변길 87 32108	20000
Z-026	제로월드 포항점	42,41,38	055-497-3066	11	포항 남구 돋질로250번길 13 1층	20000
Z-027	제로월드 해운점	25,21,46,36,41	051-497-3056	13	해운대구 중동1로 31	20000
