r_no	u_no	c_no	t_no	r_date	r_time	r_people	r_attend
556	32	V-015	2	2022-03-20	13:00	1	1
557	32	T-014	1	2022-03-20	14:00	2	0
558	2	G-014	24	2022-03-20	16:30	1	1
559	18	L-001	29	2022-03-20	16:30	3	0
560	11	C-003	20	2022-03-20	17:30	1	1
561	18	N-005	24	2022-03-20	17:30	1	1
562	8	V-012	1	2022-03-20	18:00	2	1
563	43	B-002	18	2022-03-20	19:00	2	1
564	35	T-004	4	2022-03-20	19:30	1	0
565	16	S-016	5	2022-03-20	20:00	2	1
566	2	M-007	28	2022-03-20	20:30	2	1
567	38	P-017	21	2022-03-21	21:00	1	0
568	18	V-004	31	2022-03-21	14:30	2	0
569	6	A-004	29	2022-03-21	16:00	1	0
570	8	A-024	25	2022-03-21	16:00	1	0
571	18	M-015	25	2022-03-21	16:00	1	0
572	10	E-008	1	2022-03-22	20:00	2	1
573	3	A-023	2	2022-03-22	11:00	2	0
574	21	M-002	31	2022-03-22	13:30	3	0
575	10	M-001	8	2022-03-22	14:30	1	1
576	44	S-022	30	2022-03-22	16:30	1	0
577	40	L-010	9	2022-03-23	21:00	1	0
578	35	A-004	5	2022-03-23	13:00	1	0
579	43	V-025	6	2022-03-23	15:00	3	1
580	15	A-020	14	2022-03-23	16:00	2	0
581	15	Z-009	27	2022-03-23	16:00	1	1
582	8	V-007	18	2022-03-23	17:30	2	0
583	27	B-021	25	2022-03-23	18:00	2	0
584	25	C-018	7	2022-03-23	18:00	3	1
585	41	N-001	5	2022-03-23	18:30	1	0
586	40	T-009	14	2022-03-24	19:30	3	0
587	15	G-019	32	2022-03-24	10:00	1	1
588	35	S-023	14	2022-03-24	11:30	1	1
589	13	M-001	20	2022-03-24	13:00	4	1
590	7	V-004	34	2022-03-24	13:00	2	1
591	27	B-020	33	2022-03-24	13:30	3	1
592	24	V-011	43	2022-03-24	16:00	2	1
593	31	P-011	37	2022-03-24	17:00	1	1
594	43	S-025	13	2022-03-24	18:30	2	0
595	42	M-001	5	2022-03-25	19:30	2	0
596	36	N-027	43	2022-03-25	12:30	1	1
597	19	P-022	44	2022-03-25	13:00	4	0
598	28	G-001	19	2022-03-25	14:00	1	0
599	41	C-008	34	2022-03-25	17:30	1	0
600	32	B-015	23	2022-03-25	18:00	2	1
601	43	B-013	42	2022-03-25	19:30	3	0
602	22	E-005	32	2022-03-25	19:30	1	1
603	39	N-012	22	2022-03-25	20:00	1	0
604	22	A-024	37	2022-03-26	20:30	1	1
605	21	G-010	31	2022-03-26	11:00	5	1
606	2	T-024	3	2022-03-26	12:00	2	0
607	36	L-002	28	2022-03-26	12:30	2	1
608	10	L-006	17	2022-03-26	15:30	1	0
609	35	N-015	5	2022-03-26	16:00	2	1
610	13	S-003	40	2022-03-26	17:00	1	1
611	24	C-013	36	2022-03-26	18:30	1	0
612	10	Z-003	10	2022-03-27	20:30	2	1
613	10	Z-019	19	2022-03-27	10:00	1	1
614	31	M-016	42	2022-03-27	11:00	3	0
615	23	P-022	8	2022-03-27	11:00	6	1
616	39	M-015	3	2022-03-27	13:30	2	1
617	3	M-008	27	2022-03-27	14:30	1	1
618	5	N-013	22	2022-03-27	15:30	1	1
619	14	T-005	42	2022-03-27	16:30	3	0
620	9	G-010	3	2022-03-27	19:00	2	0
621	28	N-023	16	2022-03-28	19:30	3	0
622	21	A-017	4	2022-03-28	10:30	1	0
623	41	B-004	42	2022-03-28	11:30	2	0
624	44	Z-020	1	2022-03-28	13:00	2	1
625	6	Z-008	17	2022-03-28	15:30	1	1
626	15	N-011	46	2022-03-28	16:00	1	1
627	37	G-002	7	2022-03-28	17:00	2	1
628	4	N-004	4	2022-03-28	17:00	1	0
629	41	N-023	42	2022-03-28	17:00	1	0
630	3	L-006	47	2022-03-28	18:30	1	0
631	5	V-024	14	2022-03-29	20:00	1	1
632	29	Z-014	44	2022-03-29	11:00	1	1
633	10	M-010	10	2022-03-29	13:30	2	0
634	26	V-009	44	2022-03-29	13:30	1	1
635	2	B-014	23	2022-03-29	15:00	3	1
636	40	N-026	25	2022-03-29	15:00	2	1
637	33	S-017	23	2022-03-29	15:00	1	1
638	7	S-021	47	2022-03-29	15:00	1	1
639	43	G-023	29	2022-03-29	16:30	3	1
640	33	A-004	27	2022-03-29	17:30	1	0
641	12	B-022	1	2022-03-30	19:00	1	1
642	38	S-020	16	2022-03-30	20:30	3	1
643	37	L-002	46	2022-03-30	10:30	1	1
644	10	P-023	18	2022-03-30	12:00	1	1
645	41	C-017	33	2022-03-30	13:00	1	0
646	44	Z-002	8	2022-03-30	13:00	4	1
647	36	C-023	27	2022-03-30	15:30	1	1
648	20	V-004	47	2022-03-30	18:30	2	1
649	15	Z-015	31	2022-03-30	18:30	1	1
650	32	C-012	14	2022-03-31	20:00	1	0
651	10	P-012	5	2022-03-31	21:00	1	0
652	15	P-017	44	2022-03-31	10:30	1	1
653	25	S-017	31	2022-03-31	10:30	2	1
654	13	Z-006	1	2022-03-31	10:30	2	1
655	30	B-019	1	2022-03-31	11:00	2	0
656	27	C-026	5	2022-03-31	14:30	2	0
657	25	V-026	48	2022-03-31	15:00	1	1
658	37	N-016	31	2022-03-31	16:00	1	1
659	30	L-012	23	2022-03-31	20:00	2	0
660	28	S-016	33	2022-04-01	20:30	2	0
661	28	B-014	38	2022-04-01	21:00	1	0
662	38	P-023	33	2022-04-01	10:30	2	0
663	40	M-025	35	2022-04-01	11:00	1	0
664	4	P-005	37	2022-04-01	11:00	1	1
665	44	C-027	14	2022-04-01	15:00	5	1
666	33	Z-024	43	2022-04-01	15:30	2	1
667	25	L-018	44	2022-04-01	16:00	6	1
668	30	L-012	7	2022-04-10	17:00	3	1
669	7	Z-021	6	2022-04-21	21:00	1	1
670	1	S-006	25	2022-04-24	18:00	1	0
671	10	T-014	40	2022-04-28	12:00	1	1
672	33	A-025	7	2022-04-28	17:30	3	1
673	1	C-020	30	2022-04-29	10:30	2	0
674	1	E-001	34	2022-05-20	13:30	2	1
675	33	Z-027	21	2022-05-28	13:00	1	0
